title,condition,fuel,odometer,title status,transmission,url,price,cylinders,drive,paint color,size,type,VIN,brand
2010 ferrari california,excellent,gas,32000,clean,automatic,https://newjersey.craigslist.org/cto/d/wood-ridge-2010-ferrari-california/7688517647.html,90000,,,,,,,ferrari
2017 dodge durango gt,good,gas,156000,clean,automatic,https://newjersey.craigslist.org/cto/d/caldwell-2017-dodge-durango/7688516595.html,10500,6 cylinders,4wd,black,full-size,SUV,,dodge
2009 ford explorer xlt 4wd,good,gas,95895,clean,automatic,https://newjersey.craigslist.org/cto/d/wayne-2009-ford-explorer-xlt-4wd-sport/7688515214.html,7500,6 cylinders,4wd,black,,,,ford
2018 BMW X1,,gas,50570,clean,,https://newjersey.craigslist.org/ctd/d/woodbury-2018-bmw-x1-xdrive28i/7688496382.html,20995,,,blue,full-size,SUV,WBXHT3C37J5F92685,bmw
2019 ACURA TLX,,gas,37111,clean,,https://newjersey.craigslist.org/ctd/d/woodbury-2019-acura-tlx-35l-technology/7688489328.html,27495,,fwd,black,,sedan,19UUB2F68KA007621,acura
2017 FORD F-350,,other,186292,clean,automatic,https://newjersey.craigslist.org/ctd/d/paterson-2017-ford-350-f350-350-sd-king/7688488501.html,39995,,4wd,white,,pickup,1FT8W3B61HED14422,ford
2015 CHEVROLET SUBURBAN,,other,160898,clean,automatic,https://newjersey.craigslist.org/ctd/d/paterson-2015-chevrolet-chevy-suburban/7688483629.html,24995,,4wd,black,,SUV,1GNSKKKC9FR204698,chevrolet
2004 Mack CV713,,diesel,650000,clean,manual,https://newjersey.craigslist.org/cto/d/gloucester-city-2004-mack-granite-cv713/7688482916.html,49500,,,,,,,
2020 BMW 330I,,gas,57705,clean,,https://newjersey.craigslist.org/ctd/d/woodbury-2020-bmw-series-330i-xdrive/7688481528.html,27495,,rwd,blue,compact,sedan,3MW5R7J0XL8B06465,bmw
2015 ford edge sel,excellent,gas,94217,clean,automatic,https://newjersey.craigslist.org/cto/d/2015-ford-edge-sel-awd-crossover-suv/7688481126.html,12400,4 cylinders,4wd,silver,mid-size,SUV,,ford
2013 FORD F-450,,other,189438,clean,automatic,https://newjersey.craigslist.org/ctd/d/paterson-2013-ford-450-sd-lariat-crew/7688478145.html,36995,,4wd,black,,pickup,1FT8W4DT9DEA47288,ford
